Player,Age,Position,Status,Wavier Option,Base Salary,Signing Bonus,Payroll Salary,Adjusted Salary,Payroll %,Luxury Tax Salary,Team,Injured
Madison Bumgarner ,31,SP,Vet,,19000000,0,19000000,14000000,15.16,17000000,Arizona Diamondbacks,
Nick Ahmed,31,SS,Vet,,7500000,375000,8125000,8125000,8.8,8125000,Arizona Diamondbacks,
Kole Calhoun,33,RF,Vet,,8000000,0,8000000,8000000,8.67,8000000,Arizona Diamondbacks,
Eduardo Escobar,32,3B,Vet,,7500000,166668,7666668,7666668,8.3,7000000,Arizona Diamondbacks,
David Peralta,33,LF,Vet,,7500000,0,7500000,7500000,8.12,7333333,Arizona Diamondbacks,
Ketel Marte,27,CF,Arb 3,,6000000,0,6000000,6000000,6.5,4800000,Arizona Diamondbacks,Injured
Merrill Kelly,32,SP,Pre-Arb,3,4250000,0,4250000,4250000,4.6,4250000,Arizona Diamondbacks,
Joakim Soria,37,RP/CL,Vet,,3500000,0,3500000,3500000,3.79,3500000,Arizona Diamondbacks,
Luke Weaver,27,SP,Arb 1,2,1950000,0,1950000,1950000,2.11,1950000,Arizona Diamondbacks,Injured
Tyler Clippard,36,RP,Vet,,1750000,0,1750000,1750000,1.9,2250000,Arizona Diamondbacks,
Asdrubal Cabrera,35,2B,Vet,,1750000,0,1750000,1750000,1.9,1750000,Arizona Diamondbacks,Injured
Carson Kelly,26,C,Arb 1,1,1700000,0,1700000,1700000,1.84,1700000,Arizona Diamondbacks,Injured
Caleb Smith,29,SP,Arb 1,3,1465000,0,1465000,1465000,1.59,1465000,Arizona Diamondbacks,
Chris Devenski,30,RP,Arb 3,,1000000,0,1000000,1000000,1.08,1000000,Arizona Diamondbacks,Injured
Christian Walker ,30,1B,Pre-Arb,,619300,0,619300,619300,0.67,619300,Arizona Diamondbacks,
Zac Gallen ,25,SP,Pre-Arb,3,607500,0,607500,607500,0.66,607500,Arizona Diamondbacks,
Taylor Clarke,28,RP,Pre-Arb,2,601800,0,601800,601800,0.65,601800,Arizona Diamondbacks,Injured
Pavin Smith ,25,RF,Pre-Arb,3,586600,0,586600,586600,0.64,586600,Arizona Diamondbacks,
Josh Rojas ,27,SS,Pre-Arb,2,582400,0,582400,582400,0.63,582400,Arizona Diamondbacks,
Riley Smith ,26,RP,Pre-Arb,2,582300,0,582300,569842,0.62,569842,Arizona Diamondbacks,
Taylor Widener ,26,SP,Pre-Arb,3,583400,0,583400,552112,0.6,552112,Arizona Diamondbacks,
Josh Reddick ,34,RF,Vet,,750000,0,750000,548352,0.59,548352,Arizona Diamondbacks,
Matt Peacock ,27,RP,Pre-Arb,3,570500,0,570500,524457,0.57,524457,Arizona Diamondbacks,
Josh VanMeter ,26,2B,Pre-Arb,1,583400,0,583400,495646,0.54,495646,Arizona Diamondbacks,
Seth Frankoff,32,SP,Arb 1,2,570500,0,570500,441648,0.48,441648,Arizona Diamondbacks,Injured
Joe Mantiply ,30,RP,Pre-Arb,3,570500,0,570500,432447,0.47,432447,Arizona Diamondbacks,
