Player,Real,Predicted,Position,Payroll Salary,Team
Aaron Hicks,0.586,0.77568233,CF,10785714,New York Yankees
Aaron Judge,0.637,0.7917915,RF,10175000,New York Yankees
Abraham Almonte,0.6373333333333333,0.7944593000000001,CF,990000,Atlanta Braves
Adalberto Mondesi,0.8453333333333334,0.83177495,SS,2525000,Kansas City Royals
Adam Duvall,0.7120000000000001,0.8041742,RF,2000000,Miami Marlins
Adam Eaton,0.59825,0.7955127,RF,570500,Los Angeles Angels
Adam Engel,0.6146666666666668,0.7921482,LF,1375000,Chicago White Sox
Adam Frazier,0.8193333333333334,0.8255021999999999,2B,4300000,Pittsburgh Pirates
Albert Pujols,0.62475,0.79001683,DH,570500,Los Angeles Dodgers
Aledmys Diaz,0.7216666666666667,0.7971906999999999,SS,3000000,Houston Astros
Alex Avila,0.7159999999999999,0.8053303,C,1500000,Washington Nationals
Alex Blandino,0.7969999999999999,0.82238793,3B,573000,Cincinnati Reds
Alex Bregman,0.5036666666666667,0.7719294,3B,12666666,Houston Astros
Alex Dickerson,0.7825,0.8190604,LF,2100000,San Francisco Giants
Alex Kirilloff,0.361,0.7522168,DH,570500,Minnesota Twins
Amed Rosario,0.521,0.75716776,SS,2400000,Cleveland Indians
Andrelton Simmons,0.5873333333333334,0.78840655,SS,10500000,Minnesota Twins
Andrew Benintendi,0.6933333333333334,0.80064136,LF,6600000,Kansas City Royals
Andrew Knapp,0.7603333333333334,0.8115502,C,1100000,Philadelphia Phillies
Andrew McCutchen,0.7493333333333334,0.80412275,LF,20000000,Philadelphia Phillies
Anthony Rendon,0.5886666666666667,0.77789843,3B,28071428,Los Angeles Angels
Anthony Rizzo,0.6183333333333333,0.7879613,1B,16500000,Chicago Cubs
Anthony Santander,0.7320000000000001,0.80393237,RF,2100000,Baltimore Orioles
Asdrubal Cabrera,0.6942499999999999,0.80989707,2B,1750000,Arizona Diamondbacks
Austin Barnes,0.8573333333333334,0.83386725,C,1650000,Los Angeles Dodgers
Austin Hedges,0.8205,0.82101566,C,3280000,Cleveland Indians
Austin Romine,0.6806666666666666,0.80770415,C,1500000,Chicago Cubs
Austin Slater,0.7473333333333333,0.812434,LF,1150000,San Francisco Giants
Avisail Garcia,0.6756666666666667,0.8203229,RF,10750000,Milwaukee Brewers
Ben Gamel,0.7495,0.8061175,CF,1500000,Pittsburgh Pirates
Brad Miller,0.7040000000000001,0.80709124,2B,3500000,Philadelphia Phillies
Brandon Belt,0.6073333333333334,0.78913337,1B,17200000,San Francisco Giants
Brandon Crawford,0.6576666666666666,0.7899374,SS,15200000,San Francisco Giants
Brandon Nimmo,0.7806666666666667,0.81748354,CF,4700000,New York Mets
Brett Gardner,0.85,0.8324466,LF,2850000,New York Yankees
Brian Anderson,0.7393333333333333,0.81866765,3B,3800000,Miami Marlins
Brian O'Grady,0.7090000000000001,0.8079928000000001,LF,650000,San Diego Padres
Brock Holt,0.69675,0.79183656,2B,1750000,Texas Rangers
Byron Buxton,0.6156666666666667,0.78508836,CF,5125000,Minnesota Twins
C.J. Cron,0.6759999999999999,0.8001292,1B,1000000,Colorado Rockies
Carlos Correa,0.616,0.79060024,SS,11700000,Houston Astros
Carlos Santana,0.6693333333333333,0.8038432,1B,7000000,Kansas City Royals
Carson Kelly,0.7173333333333333,0.8098469,C,1700000,Arizona Diamondbacks
Cesar Hernandez,0.8156666666666667,0.8289693000000001,2B,5000000,Cleveland Indians
Chad Pinder,0.7033333333333333,0.8035749,SS,2275000,Oakland Athletics
Charlie Blackmon,0.4516666666666666,0.7639665,RF,21333333,Colorado Rockies
Chris Davis,0.72,0.8030735,1B,21065362,Baltimore Orioles
Chris Owings,0.6112500000000001,0.78637516,2B,1000000,Colorado Rockies
Chris Taylor,0.6226666666666667,0.78675735,2B,7800000,Los Angeles Dodgers
Christian Arroyo,0.8223333333333334,0.82363874,SS,581500,Boston Red Sox
Christian Vazquez,0.5923333333333334,0.7813571,C,6250000,Boston Red Sox
Clint Frazier,0.7713333333333333,0.81169605,OF,2100000,New York Yankees
Cody Bellinger,0.5640000000000001,0.77635705,CF,16100000,Los Angeles Dodgers
Colin Moran,0.7156666666666668,0.81010807,1B,2800000,Pittsburgh Pirates
Corey Dickerson,0.74225,0.81161153,LF,9500000,Toronto Blue Jays
Corey Seager,0.765,0.81304634,SS,13750000,Los Angeles Dodgers
Curt Casali,0.8496666666666667,0.83824027,C,2000000,San Francisco Giants
Danny Jansen,0.6863333333333332,0.8011209,C,601800,Toronto Blue Jays
Dansby Swanson,0.581,0.7789035,SS,6000000,Atlanta Braves
Darin Ruf,0.79,0.81696385,1B,1275000,San Francisco Giants
David Bote,0.769,0.83095604,2B,1010000,Chicago Cubs
David Dahl,0.5866666666666667,0.7954856,LF,2700000,Texas Rangers
David Peralta,0.7096666666666668,0.7985633000000001,LF,7500000,Arizona Diamondbacks
Daz Cameron,0.6795,0.7950526,OF,570500,Detroit Tigers
Dexter Fowler,0.43566666666666665,0.7451182,RF,16500000,Los Angeles Angels
Didi Gregorius,0.6809999999999999,0.8097877,SS,12750000,Philadelphia Phillies
Dominic Smith,0.7453333333333333,0.81134146,LF,2550000,New York Mets
Donovan Solano,0.5693333333333334,0.7865413,2B,3250000,San Francisco Giants
Eddie Rosario,0.7803333333333334,0.8209983000000001,LF,8000000,Cleveland Indians
Eduardo Escobar,0.6633333333333333,0.7804116,3B,7666668,Arizona Diamondbacks
Edwin Rios,0.5690000000000001,0.7708241,3B,590500,Los Angeles Dodgers
Eloy Jimenez,0.7849999999999999,0.81950974,DH,4333333,Chicago White Sox
Elvis Andrus,0.606,0.78437597,SS,8800000,Oakland Athletics
Emmanuel Rivera,0.653,0.7924625,3B,570500,Kansas City Royals
Ender Inciarte,0.684,0.8062491,LF,8700000,Atlanta Braves
Enrique Hernandez,0.6729999999999999,0.7991246999999999,2B,6000000,Boston Red Sox
Erik Gonzalez,0.6429999999999999,0.7962236,SS,1225000,Pittsburgh Pirates
Eugenio Suarez,0.7186666666666666,0.8062836999999999,3B,10785714,Cincinnati Reds
Evan Longoria,0.7133333333333334,0.803905,3B,18500000,San Francisco Giants
Evan White,1.1159999999999999,0.8337535,1B,1300000,Seattle Mariners
Franchy Cordero,0.7806666666666667,0.81554943,LF,800000,Boston Red Sox
Francisco Lindor,0.6293333333333334,0.77888626,SS,22300000,New York Mets
Franklin Barreto,0.7595000000000001,0.8179586,SS,600500,Los Angeles Angels
Freddie Freeman,0.49200000000000005,0.7659497,1B,22409375,Atlanta Braves
Freddy Galvis,0.7262500000000001,0.80875945,SS,1500000,Baltimore Orioles
Garrett Cooper,0.5873333333333334,0.78147274,RF,1900000,Miami Marlins
Gary Sanchez,0.731,0.81459665,C,6350000,New York Yankees
Gavin Lux,0.9623333333333334,0.8441771999999998,SS,580500,Los Angeles Dodgers
Giancarlo Stanton,0.617,0.7767121,DH,29000000,New York Yankees
Gleyber Torres,0.8273333333333334,0.8264681999999999,SS,4000000,New York Yankees
Gregory Polanco,0.6349999999999999,0.7831876,RF,11600000,Pittsburgh Pirates
Guillermo Heredia,0.78325,0.8207144000000001,CF,1000000,Atlanta Braves
Harrison Bader,0.6863333333333332,0.80084,CF,2000000,St. Louis Cardinals
Hunter Dozier,0.677,0.79924875,3B,2500000,Kansas City Royals
Hunter Renfroe,0.5726666666666667,0.7856169,RF,3100000,Boston Red Sox
Ian Happ,0.6203333333333333,0.7937225,CF,4100000,Chicago Cubs
Isaac Paredes,0.6775,0.80348974,3B,570500,Detroit Tigers
Isiah Kiner-Falefa,0.5416666666666667,0.78362364,SS,2000000,Texas Rangers
J.D. Davis,0.67,0.8006395000000001,3B,2100000,New York Mets
J.D. Martinez,0.7846666666666667,0.8112627,DH,19350000,Boston Red Sox
J.P. Crawford,0.6486666666666666,0.7902071999999999,SS,2050000,Seattle Mariners
J.T. Realmuto,0.5780000000000001,0.7810405,C,20000000,Philadelphia Phillies
Jacob Stallings,0.7713333333333333,0.8128984,C,1300000,Pittsburgh Pirates
Jake Cave,0.8596666666666667,0.83265394,LF,597500,Minnesota Twins
Jake Fraley,0.48200000000000004,0.7641901999999999,OF,572100,Seattle Mariners
Jake Lamb,0.5489999999999999,0.7736776,1B,1000000,Chicago White Sox
Jake Marisnick,0.6233333333333334,0.7871014000000001,CF,1000000,Chicago Cubs
Jake Rogers,0.841,0.82982385,C,570500,Detroit Tigers
James McCann,0.7063333333333333,0.8009696,C,8150000,New York Mets
Jarrod Dyson,0.6759999999999999,0.8034127,CF,1500000,Kansas City Royals
Jason Castro,0.47200000000000003,0.76895326,C,3500000,Houston Astros
Javier Baez,0.6613333333333333,0.793166,SS,11650000,Chicago Cubs
Jaylin Davis,0.7773333333333333,0.8225508,RF,570500,San Francisco Giants
Jazz Chisholm,0.71,0.80704737,2B,571750,Miami Marlins
Jed Lowrie,0.8009999999999999,0.8260575000000001,2B,1500000,Oakland Athletics
Jeimer Candelario,0.5536666666666666,0.80100834,1B,2850000,Detroit Tigers
Jesse Winker,0.6853333333333333,0.8046116999999999,LF,3150000,Cincinnati Reds
Jesus Aguilar,0.7305,0.80341464,1B,4350000,Miami Marlins
Jesus Sanchez,0.6785,0.80174255,OF,575000,Miami Marlins
Ji-Man Choi,0.6823333333333333,0.7988441999999999,1B,2450000,Tampa Bay Rays
Joc Pederson,0.8480000000000001,0.83299965,LF,4500000,Atlanta Braves
Joe Panik,0.7392000000000001,0.8012081,2B,1850000,Miami Marlins
