Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Aaron Hicks,0.586,0.77568233,CF,10785714,New York Yankees,0.07191756892496871
Aaron Judge,0.637,0.7917915,RF,10175000,New York Yankees,0.07781734643734643
Abraham Almonte,0.6373333333333333,0.7944593000000001,CF,990000,Atlanta Braves,0.8024841414141415
Adalberto Mondesi,0.8453333333333334,0.83177495,SS,2525000,Kansas City Royals,0.3294158217821782
Adam Duvall,0.7120000000000001,0.8041742,RF,2000000,Miami Marlins,0.4020871
Adam Eaton,0.59825,0.7955127,RF,570500,Los Angeles Angels,1.3944131463628395
Adam Engel,0.6146666666666668,0.7921482,LF,1375000,Chicago White Sox,0.5761077818181818
Adam Frazier,0.8193333333333334,0.8255021999999999,2B,4300000,Pittsburgh Pirates,0.19197725581395345
Albert Pujols,0.62475,0.79001683,DH,570500,Los Angeles Dodgers,1.3847797195442595
Aledmys Diaz,0.7216666666666667,0.7971906999999999,SS,3000000,Houston Astros,0.2657302333333333
Alex Avila,0.7159999999999999,0.8053303,C,1500000,Washington Nationals,0.5368868666666667
Alex Blandino,0.7969999999999999,0.82238793,3B,573000,Cincinnati Reds,1.4352319895287957
Alex Bregman,0.5036666666666667,0.7719294,3B,12666666,Houston Astros,0.06094179794430515
Alex Dickerson,0.7825,0.8190604,LF,2100000,San Francisco Giants,0.39002876190476193
Alex Kirilloff,0.361,0.7522168,DH,570500,Minnesota Twins,1.3185219982471517
Amed Rosario,0.521,0.75716776,SS,2400000,Cleveland Indians,0.3154865666666667
Andrelton Simmons,0.5873333333333334,0.78840655,SS,10500000,Minnesota Twins,0.07508633809523811
Andrew Benintendi,0.6933333333333334,0.80064136,LF,6600000,Kansas City Royals,0.12130929696969696
Andrew Knapp,0.7603333333333334,0.8115502,C,1100000,Philadelphia Phillies,0.7377729090909091
Andrew McCutchen,0.7493333333333334,0.80412275,LF,20000000,Philadelphia Phillies,0.040206137499999996
Anthony Rendon,0.5886666666666667,0.77789843,3B,28071428,Los Angeles Angels,0.027711395017025856
Anthony Rizzo,0.6183333333333333,0.7879613,1B,16500000,Chicago Cubs,0.0477552303030303
Anthony Santander,0.7320000000000001,0.80393237,RF,2100000,Baltimore Orioles,0.38282493809523804
Asdrubal Cabrera,0.6942499999999999,0.80989707,2B,1750000,Arizona Diamondbacks,0.46279832571428575
Austin Barnes,0.8573333333333334,0.83386725,C,1650000,Los Angeles Dodgers,0.5053740909090909
Austin Hedges,0.8205,0.82101566,C,3280000,Cleveland Indians,0.2503096524390244
Austin Romine,0.6806666666666666,0.80770415,C,1500000,Chicago Cubs,0.5384694333333333
