Player,Real,Predicted,Position,Payroll Salary,Team,OPS Per Millionth Dollar
Aaron Hicks,0.586,0.7769191,CF,10785714,New York Yankees,0.07203223634522479
Aaron Judge,0.637,0.7800024999999999,RF,10175000,New York Yankees,0.07665872235872236
Abraham Almonte,0.6373333333333333,0.79181904,CF,990000,Atlanta Braves,0.7998172121212122
Adalberto Mondesi,0.8453333333333334,0.82857335,SS,2525000,Kansas City Royals,0.3281478613861386
Adam Duvall,0.7120000000000001,0.7898381,RF,2000000,Miami Marlins,0.39491905
Adam Eaton,0.59825,0.79943687,RF,570500,Los Angeles Angels,1.4012916213847502
Adam Engel,0.6146666666666668,0.8033126,LF,1375000,Chicago White Sox,0.5842273454545455
Adam Frazier,0.8193333333333334,0.810557,2B,4300000,Pittsburgh Pirates,0.18850162790697672
Albert Pujols,0.62475,0.7912300999999999,DH,570500,Los Angeles Dodgers,1.3869063978965819
Aledmys Diaz,0.7216666666666667,0.7875679,SS,3000000,Houston Astros,0.2625226333333333
Alex Avila,0.7159999999999999,0.7769191,C,1500000,Washington Nationals,0.5179460666666666
Alex Blandino,0.7969999999999999,0.8168149,3B,573000,Cincinnati Reds,1.4255059336823734
Alex Bregman,0.5036666666666667,0.7817379,3B,12666666,Houston Astros,0.061716153248218594
Alex Dickerson,0.7825,0.81124514,LF,2100000,San Francisco Giants,0.38630720952380954
Alex Kirilloff,0.361,0.7769191,DH,570500,Minnesota Twins,1.3618213847502192
Amed Rosario,0.521,0.7811156,SS,2400000,Cleveland Indians,0.32546483333333337
Andrelton Simmons,0.5873333333333334,0.80401915,SS,10500000,Minnesota Twins,0.07657325238095239
Andrew Benintendi,0.6933333333333334,0.7966717,LF,6600000,Kansas City Royals,0.12070783333333333
Andrew Knapp,0.7603333333333334,0.805407,C,1100000,Philadelphia Phillies,0.7321881818181818
Andrew McCutchen,0.7493333333333334,0.78746337,LF,20000000,Philadelphia Phillies,0.0393731685
Anthony Rendon,0.5886666666666667,0.7775814999999999,3B,28071428,Los Angeles Angels,0.027700104889569564
Anthony Rizzo,0.6183333333333333,0.7926805,1B,16500000,Chicago Cubs,0.048041242424242424
Anthony Santander,0.7320000000000001,0.8138696999999999,RF,2100000,Baltimore Orioles,0.387557
Asdrubal Cabrera,0.6942499999999999,0.8026281999999999,2B,1750000,Arizona Diamondbacks,0.4586446857142857
Austin Barnes,0.8573333333333334,0.83744824,C,1650000,Los Angeles Dodgers,0.5075443878787879
Austin Hedges,0.8205,0.81742346,C,3280000,Cleveland Indians,0.2492144695121951
Austin Romine,0.6806666666666666,0.7917751000000001,C,1500000,Chicago Cubs,0.5278500666666667
Austin Slater,0.7473333333333333,0.7960329,LF,1150000,San Francisco Giants,0.6922025217391304
Avisail Garcia,0.6756666666666667,0.81038404,RF,10750000,Milwaukee Brewers,0.0753845618604651
Ben Gamel,0.7495,0.8145656,CF,1500000,Pittsburgh Pirates,0.5430437333333333
Brad Miller,0.7040000000000001,0.784179,2B,3500000,Philadelphia Phillies,0.22405114285714287
